ID,CAG,WA,SS,OVP,DISC,DISC EXTRA
A01284948,1,0,1,0,0,1
A01198225,1,1,0,1,1,1
A01571215,1,0,1,1,0,1
A01722158,1,0,1,1,0,1
A00829897,1,1,1,0,1,1
A00834205,1,0,1,0,0,1
A00835010,1,1,0,1,1,1
A00835221,1,0,1,0,0,1
A01722429,1,1,1,0,1,1
A00572741,1,1,1,0,1,1
A01198656,1,1,1,0,1,1
A01571479,1,1,1,0,1,1
A00830314,1,1,1,1,0,1
A00831113,1,0,1,0,0,1
A00830809,1,0,1,0,0,1
A01562561,1,0,1,1,0,1
A00832611,1,0,1,0,0,1
A01625415,1,0,1,1,0,1
A00832313,1,0,1,1,0,1
A00832113,1,1,1,0,1,1
A00831741,1,0,1,0,0,1
A00831867,1,0,1,1,0,1
A01708182,0,0,1,0,0,1
A00832166,1,0,1,1,0,1
A00833348,1,0,1,0,0,1
A00832792,0,0,1,0,0,1
A00833065,1,0,1,0,0,1
A00832811,0,0,1,0,0,1
A00833913,0,0,1,0,0,1
A01771206,1,0,1,1,0,1
A00835461,1,0,1,0,0,1
A00835442,1,1,0,1,1,1
A00836338,1,1,1,0,1,1
A00837156,1,1,1,0,1,1
A00837454,1,1,1,0,1,1
A00838240,1,1,1,0,1,1
A00838192,1,1,1,0,1,1
A01275536,0,0,1,0,0,1
A01196295,1,0,1,1,0,1
A01177029,1,0,1,1,0,1
A01177225,0,1,1,1,0,1
A01284032,1,0,0,1,1,1
A00831670,1,0,1,1,0,1
A01411646,1,0,1,1,0,1
A01173967,1,0,1,1,0,1
A01721113,1,0,1,1,0,1
A01351875,1,1,1,1,0,0
A01566908,1,0,1,1,0,1
A01246337,1,0,1,1,0,1
A01721617,0,0,1,0,0,1
A01709067,1,0,1,1,0,1
A01197979,1,0,1,1,0,1
A01198075,0,0,1,0,0,1
A01284654,0,0,1,0,0,1
A01174107,1,0,1,1,0,1
A01275546,1,0,1,1,0,1
A01197990,0,0,1,0,0,1
A01571087,1,0,1,0,0,1
A01571023,1,0,1,1,0,1
A01284720,1,0,1,1,0,1
A01284902,1,0,1,1,0,1
A01721888,0,0,1,0,0,1
A01732695,0,0,1,0,0,1
A01740727,1,0,1,0,0,1
A01198113,1,0,1,1,0,1
A01177862,1,0,1,1,0,1
A01383640,1,0,1,0,0,1
A00832311,1,0,1,1,0,1
A01749007,1,1,0,1,1,1
A00833974,0,0,1,0,0,1
A01661980,1,1,1,1,1,1
A00833366,1,0,1,1,0,1
A01383676,0,1,1,0,1,1
A01369626,1,1,1,0,1,1
A01178048,1,1,1,0,1,1
A00827564,1,0,1,1,1,1
A01285447,1,1,1,0,1,1
A01722314,1,1,1,0,1,1
A00836118,1,1,1,0,1,1
A01198682,1,1,1,0,1,1
A01722588,1,1,1,0,1,1
A00828744,1,1,1,1,0,1
A01752237,1,0,1,1,0,1
A00830626,1,0,1,1,0,1
A00830116,1,0,1,0,0,1
A01253602,1,0,1,1,0,1
A00831863,0,0,1,1,0,1
A00830361,0,0,1,1,0,1
A00832390,1,0,1,1,0,1
A00831870,1,0,1,1,0,1
A01174851,1,0,1,0,0,1
A00835057,1,1,1,0,1,1
A00832316,1,0,1,1,0,1
A00573362,1,0,1,1,0,1
A01662288,1,1,0,1,1,1
A00832767,1,0,1,0,0,1
A00832701,0,0,1,0,0,1
A00832974,1,1,1,0,1,1
A00833286,0,0,1,0,0,1
A00835064,1,0,1,0,0,1
A00833464,0,0,1,0,0,1
A00834636,1,0,1,1,0,1
A01642033,1,1,1,1,1,1
A00834231,0,0,1,0,0,1
A01236336,1,0,1,0,0,1
A00573605,1,0,1,1,0,1
A01742440,1,0,1,0,0,1
A00835271,1,1,1,0,1,1
A00836041,1,1,1,0,1,1
A01025026,1,1,1,0,1,1
A01571028,1,0,1,0,0,1
A01284085,1,0,1,1,0,1
A01411492,1,0,1,1,0,1
A01720222,1,1,1,1,0,1
A01233733,1,0,1,0,0,1
A01177407,1,0,1,1,0,1
A00832350,0,0,1,1,0,1
A01198436,1,1,1,0,1,1
A01245430,0,0,1,1,0,1
A01654484,0,0,1,1,1,1
A01197789,1,0,1,1,0,1
A01721063,0,0,1,1,0,1
A01721605,0,0,1,0,0,1
A01721870,1,1,1,1,0,1
A01383362,1,1,1,1,1,1
A01177818,1,0,1,0,0,1
A01721661,1,0,1,0,0,1
A01245656,0,0,1,0,0,1
A01177829,1,0,1,0,0,1
A01285081,1,0,1,0,0,1
A01747910,1,0,1,0,0,1
A01656921,1,0,1,1,0,1
A01423928,1,1,1,1,0,0
A01567119,0,1,1,0,1,1
A01285640,1,1,1,0,1,1
A00832353,1,0,1,1,0,1
A00830883,1,0,1,1,0,1
A01178138,1,1,1,0,1,1
