MATRICULA,REQUISITO,WA,SS,OVP,DISC,DISC EXTRA
A01252381,1,1,1,1,0,1
A01567021,1,1,1,1,0,1
A01369187,1,1,1,1,0,1
A01424953,1,1,1,1,0,1
A01703047,1,1,1,1,0,1
A01735350,1,1,1,1,0,1
A01245294,1,1,1,1,0,1
A01736339,1,1,1,1,0,1
A01736210,1,1,1,1,0,1
A01770856,1,1,1,1,0,1
A01709005,1,1,1,1,0,1
A01736666,1,1,1,1,0,1
A01422858,1,1,1,1,0,1
A01368564,1,1,1,1,0,1
A01703518,1,1,1,1,0,0
A01423601,1,1,1,1,0,1
A01540491,1,1,1,1,0,1
A01369024,1,1,1,1,0,1
A01369313,1,1,1,1,0,1
A01705722,1,1,1,1,0,1
A01770610,1,1,1,1,0,1
A00573700,1,1,1,1,0,1
A01636023,1,1,1,1,0,1
A01562854,1,1,1,1,0,1
A01709661,1,1,1,1,0,1
A01662426,1,1,1,1,0,1
A01732648,1,1,1,1,0,1
A01252832,1,1,1,1,0,1
A01233997,1,1,1,1,0,1
A00573538,1,1,1,1,0,0
A01771059,1,1,1,1,0,1
A01236477,1,1,1,1,0,1
A01068314,1,1,1,0,0,1
A01731389,1,1,1,1,0,0
A01705197,1,1,1,1,0,1
A01736083,1,1,1,1,0,1
A00573197,1,1,1,1,0,1
A01709010,1,1,1,1,0,1
A01735830,1,1,1,1,0,1
A01708403,1,1,1,1,0,1
A01742287,1,1,1,1,0,1
A01611656,1,1,1,1,0,1
A01562687,1,1,1,1,0,1
A01735898,1,1,1,1,0,1
A01735406,1,1,1,1,0,1
A01384624,1,1,1,1,0,0
A01736302,1,1,1,1,0,1
A00829553,1,1,1,1,0,1
A00227828,1,1,1,1,0,1
A01252813,1,1,1,1,0,1
A01707930,1,1,1,1,0,1
A00573436,1,1,1,1,0,1
A01613507,1,1,1,1,0,1
A01753930,1,1,1,1,0,1
A01736716,1,1,1,0,0,1
A01734997,1,1,1,1,0,1
A01368675,1,1,1,1,0,1
A01253887,1,1,1,1,0,1
A01277212,1,1,1,1,0,1
A01253997,1,1,1,1,0,1
A00571838,1,1,1,1,0,1
A01252313,1,1,1,1,0,1
A01708665,1,1,1,1,0,1
A01613543,1,1,1,1,0,1
A00573542,1,1,1,1,0,1
A01702770,1,1,1,1,0,1
A01611701,1,1,1,1,0,1
A01275678,1,1,1,1,0,1
A01423650,1,1,1,1,0,1
A01613402,1,1,1,1,0,1
A01209837,1,0,1,1,0,1
A00573709,1,1,1,1,0,1
A01708643,1,1,1,1,0,1
A01771226,1,1,1,1,0,1
A01736088,1,1,1,1,0,1
A01620829,1,1,1,1,0,1
A01731318,1,1,1,1,1,1
A01735996,1,1,1,1,0,1
A01732756,1,1,1,1,0,1
A01252485,1,1,1,1,0,1
A01369088,1,1,1,1,0,1
A01771324,1,1,1,1,0,1
A01423616,1,1,1,1,0,1
A01612099,1,1,1,1,0,1
A01275720,1,1,1,1,0,1
A01276206,1,1,1,1,0,1
A01620808,1,1,1,1,0,1
A01708307,0,1,1,1,0,1
A01736027,1,1,1,1,0,1
A01236335,1,1,1,1,0,1
A00571431,1,1,1,1,0,1
A00571762,1,1,1,1,0,1
A01611028,1,1,1,1,0,1
A01771287,1,1,1,1,0,1
A01708181,1,1,1,1,0,1
A01708328,1,1,1,1,0,1
A00573265,1,1,1,1,0,1
A01562824,1,1,1,1,0,1
A01732376,1,1,1,1,0,1
A01568684,1,1,1,1,0,1
A01732556,1,1,1,1,0,0
A01411382,1,1,1,1,0,1
A01368495,1,1,1,1,0,1
A01424900,1,1,1,1,0,1
A01703982,1,1,1,1,0,1
A01174057,1,1,1,1,0,1
A01735186,1,1,1,1,0,1
A01708964,1,1,1,1,0,1
A01731741,1,1,1,1,0,1
A01732909,1,1,1,1,0,1
A01236317,1,1,1,1,0,1
A01705616,1,1,1,1,0,1
A01114348,1,1,1,1,0,1
A01613370,1,1,1,1,0,1
A01254283,1,1,1,1,0,1
A00572230,1,1,1,1,0,1
A01612092,1,1,1,1,0,1
A01748827,1,1,1,1,0,1
A01708745,1,1,1,1,0,1
A01708682,1,1,1,1,0,1
A01277167,1,1,1,1,0,1
A01703955,1,1,1,1,0,1
A01704513,1,1,1,1,0,0
A01351714,1,1,1,1,0,0
A01275755,1,1,1,1,0,1
A01771045,1,1,1,1,0,0
A01252399,1,1,1,1,0,1
A01704152,1,1,1,1,0,1
A01620694,1,1,1,1,0,1
A01275684,1,1,1,1,0,1
A01704476,1,1,1,1,0,1
A01246738,1,1,1,1,0,1
A01562645,1,1,1,1,0,1
A01735828,1,1,1,1,0,0
A01704175,1,1,1,1,0,1
A01250949,1,1,1,1,0,1
A01706981,1,1,1,1,0,1
A01562384,1,1,1,1,0,1
A01236290,1,1,1,1,0,1
A01611685,1,1,1,1,0,1
A01620719,1,1,1,1,0,1
A01703921,1,1,1,1,0,1
A01704213,1,1,1,1,0,1
A01708654,1,1,1,1,0,1
A01703525,1,1,1,1,0,1
A01620675,1,1,1,1,0,1
A01707398,1,1,1,1,0,1
A01252375,1,1,1,1,0,1
A01234512,1,1,1,1,0,1
A01067826,1,1,1,1,0,1
A01613111,1,1,1,1,0,1
A01254027,1,1,1,1,0,1
A01736164,1,1,1,1,0,1
A01740798,1,1,1,1,0,0
A01275532,1,1,1,1,0,1
A01708888,1,1,1,1,0,1
A01703835,1,1,1,1,0,1
A01701510,1,1,1,1,0,1
A01735784,1,1,1,1,0,0
A01709555,1,1,1,1,0,1
A01748518,1,0,1,1,0,1
A01736040,1,1,1,1,0,1
A01423652,1,1,1,1,0,0
A01704768,1,1,1,1,0,1
A01277211,1,1,1,1,0,1
A01384760,0,1,1,1,0,1
A01369229,1,1,1,1,0,1
A01709574,1,1,1,1,0,1
A01736317,1,1,1,1,0,1
A01274209,1,1,1,1,0,1
A01611761,1,1,1,1,0,1
A01703572,1,1,1,1,0,1
A01703755,0,0,1,1,0,1
A01656028,1,1,1,1,0,1
A01275652,1,1,1,1,0,1
A01741063,1,1,1,1,0,1
A01704777,1,1,1,1,0,1
A01704806,1,1,1,1,0,1
A01707891,1,1,1,1,0,1
A01368513,1,1,1,1,0,1
A01067457,1,1,1,1,0,1
A01368858,1,1,1,1,0,1
A00232369,1,1,1,1,0,1
A01770093,1,1,1,1,0,1
A01254015,1,1,1,1,0,1
A01707992,1,1,1,1,0,1
A01411726,1,1,1,1,0,1
A01252378,1,1,1,1,0,1
A01706653,1,1,1,1,0,1
A01736025,1,1,1,1,0,1
A01277218,1,1,1,1,0,1
A01709226,1,1,1,1,0,1
A01704141,1,1,1,1,0,1
A01733364,1,1,1,1,0,1
A01734655,1,1,1,1,0,1
A01708157,1,1,1,1,0,1
A00570672,1,1,1,1,0,1
A01704071,1,1,1,1,0,0
A01709175,1,1,1,1,0,1
A01368715,1,1,1,1,0,1
A01706528,1,1,1,1,0,1
A01365347,1,1,1,1,0,1
