ID,CAG AD25 (POR CREDITOS),SERVICIO SOCIAL,DISCIPLINAR ACREDITADA,DISCIPLINARES Extra,ORIENTACION,WA,Requisito
A01782799,1,1,0,1,0,1,1
A01641156,1,1,0,1,0,0,1
A01641809,1,1,0,1,1,1,1
A01782654,1,1,0,1,1,1,1
A01798147,1,1,0,1,0,0,1
A01661908,1,1,0,1,0,0,1
A01771265,1,1,0,1,1,0,1
A01736533,1,1,0,1,1,0,1
A01782959,0,1,0,1,1,0,1
A01783093,1,1,0,1,1,0,1
A01662241,1,1,0,1,1,1,1
A01798085,1,1,0,1,0,0,1
A01664163,1,1,0,1,0,0,1
A01664663,1,1,0,1,0,0,1
A01339165,0,1,0,0,1,0,1
A01551878,1,1,0,1,1,0,1
A01246111,1,1,0,1,0,0,1
A01633316,1,1,0,1,0,0,1
A01566969,1,1,0,1,1,1,1
A00227097,1,1,0,1,1,0,1
A01252055,1,1,0,1,1,0,1
A01746009,1,1,0,1,0,0,1
A01611567,0,1,0,1,0,0,1
A00572368,1,1,0,0,1,1,1
A01656455,1,1,0,0,1,1,1
A01027073,1,1,0,1,1,0,1
A01748289,0,1,0,1,0,0,1
A01749039,1,1,0,1,0,0,1
A01636833,1,1,0,1,1,1,1
A01751241,1,1,0,1,0,0,1
A01637264,1,1,1,1,0,0,1
A01657298,1,1,0,1,0,0,1
A01657791,1,1,0,1,0,0,1
A01657771,1,1,0,1,0,0,1
A01638006,1,1,0,1,0,0,1
A01541505,1,1,0,1,1,0,1
A01659100,0,1,0,1,0,0,1
